EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-11-1,58,49,40,45,39,31,85,68,51,30.40,30.34,30.30,10,10,10,10,3,17,0.00,2,,50
2016-11-2,70,62,54,55,51,45,77,68,58,30.30,30.20,30.10,10,10,9,10,3,17,0.00,1,,254
2016-11-3,72,65,57,56,52,43,84,68,51,30.09,29.95,29.84,10,8,5,15,5,27,0.00,2,,261
2016-11-4,61,54,47,45,35,24,66,48,30,30.24,30.12,29.97,10,10,10,12,5,18,0.00,1,,320
2016-11-5,62,53,44,42,36,26,62,52,42,30.24,30.19,30.13,10,10,10,13,3,20,0.00,1,,288
2016-11-6,59,52,45,43,35,26,66,53,39,30.41,30.22,30.09,10,10,10,16,8,26,0.00,1,,359
2016-11-7,53,47,41,31,27,23,65,49,32,30.49,30.41,30.30,10,10,10,14,5,20,0.00,0,,32
2016-11-8,66,54,41,34,32,28,65,47,29,30.29,30.11,29.90,10,10,10,8,3,13,0.00,0,,286
2016-11-9,59,54,49,52,44,34,93,65,37,29.96,29.86,29.80,10,8,2,14,4,23,0.06,6,Rain,325
2016-11-10,56,48,40,37,31,25,77,55,32,30.04,29.92,29.71,10,10,10,14,6,27,0.00,1,,289
2016-11-11,63,52,41,38,29,20,54,42,29,30.16,29.83,29.65,10,10,10,18,8,34,0.00,1,Rain,286
2016-11-12,50,44,37,23,20,18,48,39,29,30.33,30.24,30.17,10,10,10,12,5,20,0.00,0,,295
2016-11-13,61,51,41,27,24,20,55,38,20,30.16,30.10,30.03,10,10,10,13,5,19,0.00,0,,266
2016-11-14,62,54,46,30,22,19,34,27,20,30.05,30.02,29.97,10,10,10,13,4,20,0.00,1,,265
2016-11-15,56,52,47,49,45,31,93,66,38,29.98,29.84,29.73,10,5,0,17,6,28,1.81,8,Fog-Rain,9
2016-11-16,61,53,45,42,37,34,86,63,39,29.89,29.78,29.74,10,10,9,10,4,17,0.00,1,,277
2016-11-17,61,55,49,41,39,36,71,57,42,30.08,30.00,29.90,10,10,8,13,4,20,0.00,0,,312
2016-11-18,64,54,44,38,37,33,76,55,34,30.14,30.08,30.04,10,10,9,8,2,13,0.00,0,,315
2016-11-19,63,50,37,49,45,34,80,65,50,30.04,29.77,29.58,10,8,2,18,5,32,0.25,4,Rain,81
2016-11-20,42,38,34,34,29,19,85,65,44,29.61,29.57,29.52,10,8,2,25,10,39,0.31,8,Rain-Snow,283
2016-11-21,41,39,36,21,18,16,52,45,37,29.85,29.70,29.57,10,10,10,22,13,39,0.00,7,,290
2016-11-22,41,39,37,24,20,17,59,50,40,30.21,30.05,29.86,10,10,10,21,10,37,0.00,5,,303
2016-11-23,45,40,35,24,22,19,59,49,39,30.31,30.27,30.21,10,10,10,12,6,20,0.00,1,,335
